                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9558,                 2.5979,                 1.7969,                0.02333,                0.66667,                0.02275,                0.00951,                 1.9367,                  3.103,                 1.7864,                  4e-05,                  4e-05,                  4e-05
                      2,                 2.0633,                 2.5001,                  2.022,                0.31177,                0.61905,                 0.2736,                 0.1358,                 1.7599,                 2.1607,                 1.7743,             9.9802e-05,             9.9802e-05,             9.9802e-05
                      3,                 1.7046,                 2.4126,                 1.6564,                0.59791,                 0.7619,                0.74228,                0.43401,                 1.5888,                 2.0627,                 1.6912,             0.00015937,             0.00015937,             0.00015937
                      4,                 1.6528,                 1.5748,                  1.467,                0.92208,                0.56403,                0.78391,                0.40383,                 1.3804,                 2.0235,                 1.4759,             0.00021869,             0.00021869,             0.00021869
                      5,                 1.4181,                 1.4638,                 1.3754,                0.86726,                      1,                0.93364,                0.60776,                 1.1309,                 1.1642,                  1.254,             0.00027778,             0.00027778,             0.00027778
                      6,                   1.43,                 1.1072,                 1.3226,                0.91277,                      1,                0.97136,                0.69547,                 1.0581,                0.69012,                 1.1235,             0.00033663,             0.00033663,             0.00033663
                      7,                 1.1627,                0.83681,                 1.1335,                0.90834,                      1,                0.98717,                0.70903,                0.98632,                 1.3004,                  1.083,             0.00039525,             0.00039525,             0.00039525
                      8,                 1.4207,                 1.0144,                 1.3222,                0.86879,                      1,                0.96581,                0.65872,                 1.0634,                 1.3133,                 1.1326,             0.00045362,             0.00045362,             0.00045362
                      9,                 1.3146,                0.88692,                 1.2055,                0.90405,                      1,                0.97848,                0.71468,                 1.0391,                0.78487,                 1.0711,             0.00051176,             0.00051176,             0.00051176
                     10,                 1.1734,                 1.0059,                 1.1614,                      1,                0.99503,                  0.995,                0.60065,                 1.3502,                0.86716,                 1.2175,             0.00056966,             0.00056966,             0.00056966
                     11,                 1.1127,                0.77036,                 1.0526,                0.98243,                      1,                  0.995,                0.60396,                 1.3849,                 1.2057,                 1.3494,             0.00062733,             0.00062733,             0.00062733
                     12,                 1.1578,                0.75829,                 1.0711,                0.98359,                      1,                  0.995,                0.66898,                 1.2099,                0.79871,                 1.2514,             0.00068475,             0.00068475,             0.00068475
                     13,                 1.2312,                0.82807,                 1.2581,                0.95295,                      1,                  0.995,                0.66985,                 1.1376,                 1.1134,                 1.1189,             0.00074194,             0.00074194,             0.00074194
                     14,                 1.1435,                0.73545,                 1.0955,                0.97448,                      1,                  0.995,                0.67521,                 1.0891,                 1.1321,                 1.1275,             0.00079889,             0.00079889,             0.00079889
                     15,                 1.0596,                0.64887,                 1.0827,                0.97448,                      1,                  0.995,                0.67521,                 1.0891,                 1.1321,                 1.1275,             0.00085561,             0.00085561,             0.00085561
                     16,                 1.1962,                0.74795,                 1.1826,                0.95336,                      1,                  0.995,                0.63431,                 1.1804,                 1.0823,                  1.296,             0.00091208,             0.00091208,             0.00091208
                     17,                 1.1053,                0.76955,                 1.1475,                0.96666,                      1,                  0.995,                0.62176,                 1.1915,                0.86238,                 1.2861,             0.00096832,             0.00096832,             0.00096832
                     18,                 1.0041,                0.66566,                   1.04,                0.96666,                      1,                  0.995,                0.62176,                 1.1915,                0.86238,                 1.2861,              0.0010243,              0.0010243,              0.0010243
                     19,                 1.1188,                 0.6642,                 1.0639,                0.97289,                      1,                  0.995,                0.66778,                 1.1396,                0.90837,                 1.1709,              0.0010801,              0.0010801,              0.0010801
                     20,                 1.0906,                0.70715,                 1.0808,                0.99172,                0.95238,                0.99152,                0.65911,                 1.1561,                0.66342,                  1.216,              0.0011356,              0.0011356,              0.0011356
                     21,                 1.0979,                 0.7138,                 1.0819,                0.99172,                0.95238,                0.99152,                0.65911,                 1.1561,                0.66342,                  1.216,              0.0011909,              0.0011909,              0.0011909
                     22,                 1.1785,                 0.7299,                 1.0959,                0.98916,                      1,                  0.995,                0.63529,                 1.2455,                0.92055,                  1.265,              0.0012459,              0.0012459,              0.0012459
                     23,                 1.0068,                0.62156,                 1.0008,                0.98916,                      1,                  0.995,                0.63529,                 1.2455,                0.92055,                  1.265,              0.0013008,              0.0013008,              0.0013008
                     24,                 1.1188,                0.65794,                 1.0734,                0.86237,                0.89544,                0.87393,                0.45339,                 1.5948,                 1.6259,                 1.5981,              0.0013553,              0.0013553,              0.0013553
                     25,                 1.3263,                0.81113,                 1.2157,                0.86237,                0.89544,                0.87393,                0.45339,                 1.5948,                 1.6259,                 1.5981,              0.0014097,              0.0014097,              0.0014097
                     26,                 1.3029,                0.85563,                 1.2355,                0.99449,                      1,                  0.995,                0.60123,                 1.3629,                 0.7179,                 1.4048,              0.0014638,              0.0014638,              0.0014638
                     27,                 1.1503,                0.82247,                 1.1154,                0.99449,                      1,                  0.995,                0.60123,                 1.3629,                 0.7179,                 1.4048,              0.0015176,              0.0015176,              0.0015176
                     28,                  1.088,                0.81796,                 1.0917,                      1,                 0.9933,                  0.995,                0.69505,                 1.0587,                0.72301,                 1.1636,              0.0015713,              0.0015713,              0.0015713
                     29,                 1.1451,                0.73019,                 1.1356,                      1,                 0.9933,                  0.995,                0.69505,                 1.0587,                0.72301,                 1.1636,              0.0016246,              0.0016246,              0.0016246
                     30,                 1.1376,                0.73446,                 1.0863,                      1,                 0.9933,                  0.995,                0.69505,                 1.0587,                0.72301,                 1.1636,              0.0016778,              0.0016778,              0.0016778
                     31,                 1.0558,                0.71326,                 1.0882,                0.90546,                0.91242,                0.95084,                0.64958,                 1.2366,                 0.8433,                 1.2726,              0.0017307,              0.0017307,              0.0017307
                     32,                 1.1238,                0.80516,                  1.066,                0.90546,                0.91242,                0.95084,                0.64958,                 1.2366,                 0.8433,                 1.2726,              0.0017834,              0.0017834,              0.0017834
