                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8918,                 2.8895,                 1.6452,                0.76313,                0.95238,                0.87988,                 0.4972,                  1.315,                 1.6926,                 1.3681,                0.00012,                0.00012,                0.00012
                      2,                 1.4418,                 1.3723,                 1.3708,                0.94998,                0.90476,                 0.9616,                0.66875,                 1.0573,                 1.1452,                 1.2234,             0.00025949,             0.00025949,             0.00025949
                      3,                   1.37,                 1.0811,                 1.3152,                0.99546,                      1,                  0.995,                0.70082,                 1.0707,                0.67652,                  1.125,             0.00039842,             0.00039842,             0.00039842
                      4,                 1.2853,                0.85741,                 1.1934,                0.99704,                      1,                  0.995,                0.68605,                 1.0544,                0.78634,                 1.1611,             0.00053679,             0.00053679,             0.00053679
                      5,                 1.2234,                0.79793,                 1.1536,                0.99658,                      1,                  0.995,                0.71937,                0.94125,                0.69661,                 1.0791,             0.00067461,             0.00067461,             0.00067461
                      6,                 1.2364,                0.82819,                 1.2034,                0.99681,                      1,                  0.995,                0.72746,                0.93257,                0.95618,                 1.0628,             0.00081188,             0.00081188,             0.00081188
                      7,                 1.1616,                0.83853,                 1.2014,                0.99667,                      1,                  0.995,                0.68379,                 1.0772,                0.65121,                 1.1634,              0.0009486,              0.0009486,              0.0009486
                      8,                 1.2043,                0.93631,                 1.0932,                0.99468,                      1,                  0.995,                0.68556,                 1.0693,                 1.0508,                 1.1341,              0.0010848,              0.0010848,              0.0010848
                      9,                 1.2371,                0.98319,                 1.1893,                0.99485,                      1,                  0.995,                0.69849,                 1.0909,                0.70383,                 1.1433,              0.0012204,              0.0012204,              0.0012204
                     10,                 1.2547,                0.99756,                 1.2212,                0.99311,                      1,                  0.995,                0.69464,                 1.1659,                0.79094,                 1.1982,              0.0013554,              0.0013554,              0.0013554
                     11,                 1.1747,                 1.1034,                 1.2358,                0.98867,                      1,                  0.995,                0.76057,                0.97889,                 1.1653,                 1.0797,              0.0014899,              0.0014899,              0.0014899
                     12,                 1.2652,                0.91023,                 1.1802,                0.92969,                      1,                  0.995,                0.67898,                 1.1922,                 1.8895,                 1.2411,              0.0016238,              0.0016238,              0.0016238
                     13,                 1.2665,                0.92059,                 1.2073,                0.97952,                      1,                  0.995,                0.71243,                 1.0857,                 1.1355,                  1.195,              0.0017572,              0.0017572,              0.0017572
                     14,                 1.2365,                0.98671,                 1.1645,                0.97952,                      1,                  0.995,                0.71243,                 1.0857,                 1.1355,                  1.195,              0.0018901,              0.0018901,              0.0018901
                     15,                  1.296,                0.87119,                 1.2186,                0.97471,                      1,                  0.995,                0.56368,                 1.3969,                 1.3487,                 1.4306,              0.0019446,              0.0019446,              0.0019446
                     16,                  1.191,                0.83874,                 1.1583,                      1,                0.80821,                0.89814,                 0.6544,                  1.082,                 1.1463,                 1.2386,              0.0019406,              0.0019406,              0.0019406
                     17,                 1.2185,                0.80798,                 1.1682,                0.99451,                0.95238,                0.99318,                 0.7363,                 1.0038,                0.66368,                  1.141,              0.0019366,              0.0019366,              0.0019366
                     18,                 1.1446,                0.78761,                 1.1362,                0.93311,                      1,                0.97591,                0.61413,                 1.1568,                 1.4982,                 1.2933,              0.0019327,              0.0019327,              0.0019327
                     19,                 1.1327,                0.85387,                 1.1709,                0.99605,                      1,                  0.995,                0.68188,                  1.118,                0.70214,                 1.2757,              0.0019287,              0.0019287,              0.0019287
                     20,                 1.1899,                0.82489,                 1.2385,                0.99205,                      1,                  0.995,                0.69946,                 1.0878,                0.75518,                 1.1656,              0.0019248,              0.0019248,              0.0019248
                     21,                 1.2431,                0.80111,                 1.2349,                0.99277,                      1,                  0.995,                 0.7418,                0.99059,                0.62372,                 1.0717,              0.0019208,              0.0019208,              0.0019208
                     22,                 1.1083,                0.79211,                 1.1709,                0.99277,                      1,                  0.995,                 0.7418,                0.99059,                0.62372,                 1.0717,              0.0019168,              0.0019168,              0.0019168
